func,score,rocauc
3-4-5-8,0.47,0.62
3-4-5-9,0.43,0.59
3-4-6-7,0.44,0.68
3-4-6-8,0.49,0.67
3-4-6-9,0.44,0.63
3-4-7-8,0.45,0.69
3-4-7-9,0.41,0.59
3-4-8-9,0.44,0.64
3-5-6-7,0.44,0.55
3-5-6-8,0.44,0.6
3-5-6-9,0.43,0.52
3-5-7-8,0.47,0.51
3-5-7-9,0.43,0.48
3-5-8-9,0.36,0.5
3-6-7-8,0.45,0.59
3-6-7-9,0.47,0.53
3-6-8-9,0.44,0.53
3-7-8-9,0.45,0.58
4-5-6-7,0.47,0.68
4-5-6-8,0.45,0.67
4-5-6-9,0.43,0.62
4-5-7-8,0.48,0.66
4-5-7-9,0.45,0.59
4-5-8-9,0.37,0.55
4-6-7-8,0.44,0.69
4-6-7-9,0.44,0.62
4-6-8-9,0.45,0.62
4-7-8-9,0.48,0.61
5-6-7-8,0.44,0.6
5-6-7-9,0.45,0.54
5-6-8-9,0.4,0.54
5-7-8-9,0.37,0.52
6-7-8-9,0.45,0.54
1-2-3-4-5,0.48,0.63
1-2-3-4-6,0.44,0.66
1-2-3-4-7,0.48,0.65
1-2-3-4-8,0.49,0.66
1-2-3-4-9,0.47,0.62
1-2-3-5-6,0.51,0.63
1-2-3-5-7,0.48,0.6
1-2-3-5-8,0.47,0.62
1-2-3-5-9,0.47,0.61
1-2-3-6-7,0.47,0.67
1-2-3-6-8,0.49,0.66
1-2-3-6-9,0.41,0.63
1-2-3-7-8,0.43,0.67
1-2-3-7-9,0.48,0.62
1-2-3-8-9,0.44,0.63
1-2-4-5-6,0.52,0.66
1-2-4-5-7,0.43,0.61
1-2-4-5-8,0.47,0.67
1-2-4-5-9,0.39,0.56
1-2-4-6-7,0.51,0.67
1-2-4-6-8,0.47,0.68
1-2-4-6-9,0.44,0.62
1-2-4-7-8,0.48,0.68
1-2-4-7-9,0.44,0.63
1-2-4-8-9,0.44,0.6
1-2-5-6-7,0.51,0.66
1-2-5-6-8,0.52,0.66
1-2-5-6-9,0.45,0.62
1-2-5-7-8,0.48,0.65
1-2-5-7-9,0.43,0.59
1-2-5-8-9,0.44,0.61
1-2-6-7-8,0.53,0.69
1-2-6-7-9,0.45,0.63
1-2-6-8-9,0.39,0.65
1-2-7-8-9,0.45,0.61
1-3-4-5-6,0.48,0.66
1-3-4-5-7,0.48,0.62
1-3-4-5-8,0.47,0.62
1-3-4-5-9,0.44,0.59
1-3-4-6-7,0.47,0.67
1-3-4-6-8,0.49,0.68
1-3-4-6-9,0.47,0.63
1-3-4-7-8,0.53,0.67
1-3-4-7-9,0.41,0.58
1-3-4-8-9,0.44,0.64
1-3-5-6-7,0.49,0.67
1-3-5-6-8,0.48,0.65
1-3-5-6-9,0.47,0.63
1-3-5-7-8,0.48,0.62
1-3-5-7-9,0.45,0.6
1-3-5-8-9,0.41,0.58
1-3-6-7-8,0.45,0.69
1-3-6-7-9,0.48,0.63
1-3-6-8-9,0.47,0.63
1-3-7-8-9,0.45,0.65
1-4-5-6-7,0.47,0.66
1-4-5-6-8,0.48,0.69
1-4-5-6-9,0.43,0.62
1-4-5-7-8,0.51,0.68
1-4-5-7-9,0.41,0.59
1-4-5-8-9,0.44,0.58
1-4-6-7-8,0.55,0.7
1-4-6-7-9,0.45,0.63
1-4-6-8-9,0.43,0.62
1-4-7-8-9,0.53,0.61
1-5-6-7-8,0.53,0.7
1-5-6-7-9,0.47,0.63
1-5-6-8-9,0.45,0.63
1-5-7-8-9,0.41,0.59
1-6-7-8-9,0.47,0.62
2-3-4-5-6,0.51,0.63
2-3-4-5-7,0.48,0.6
2-3-4-5-8,0.47,0.62
2-3-4-5-9,0.47,0.61
2-3-4-6-7,0.47,0.67
2-3-4-6-8,0.49,0.66
2-3-4-6-9,0.41,0.63
2-3-4-7-8,0.43,0.67
2-3-4-7-9,0.48,0.62
2-3-4-8-9,0.44,0.63
2-3-5-6-7,0.51,0.55
2-3-5-6-8,0.49,0.6
2-3-5-6-9,0.45,0.52
2-3-5-7-8,0.47,0.53
2-3-5-7-9,0.44,0.51
2-3-5-8-9,0.37,0.53
2-3-6-7-8,0.44,0.6
2-3-6-7-9,0.43,0.52
2-3-6-8-9,0.45,0.54
2-3-7-8-9,0.44,0.53
2-4-5-6-7,0.51,0.66
2-4-5-6-8,0.52,0.66
2-4-5-6-9,0.45,0.62
2-4-5-7-8,0.48,0.65
2-4-5-7-9,0.43,0.59
2-4-5-8-9,0.44,0.61
2-4-6-7-8,0.53,0.69
2-4-6-7-9,0.45,0.63
2-4-6-8-9,0.39,0.65
2-4-7-8-9,0.45,0.61
2-5-6-7-8,0.47,0.58
2-5-6-7-9,0.44,0.53
2-5-6-8-9,0.47,0.56
2-5-7-8-9,0.45,0.52
2-6-7-8-9,0.44,0.56
3-4-5-6-7,0.49,0.67
3-4-5-6-8,0.48,0.65
3-4-5-6-9,0.47,0.63
3-4-5-7-8,0.48,0.62
3-4-5-7-9,0.45,0.6
3-4-5-8-9,0.41,0.58
3-4-6-7-8,0.45,0.69
3-4-6-7-9,0.48,0.63
3-4-6-8-9,0.47,0.63
3-4-7-8-9,0.45,0.65
3-5-6-7-8,0.43,0.59
3-5-6-7-9,0.47,0.53
3-5-6-8-9,0.43,0.52
3-5-7-8-9,0.4,0.5
3-6-7-8-9,0.48,0.53
4-5-6-7-8,0.53,0.7
4-5-6-7-9,0.47,0.63
4-5-6-8-9,0.45,0.63
4-5-7-8-9,0.41,0.59
4-6-7-8-9,0.47,0.62
5-6-7-8-9,0.48,0.55
1-2-3-4-5-6,0.51,0.66
1-2-3-4-5-7,0.44,0.62
1-2-3-4-5-8,0.45,0.64
1-2-3-4-5-9,0.43,0.57
1-2-3-4-6-7,0.48,0.67
1-2-3-4-6-8,0.49,0.68
1-2-3-4-6-9,0.45,0.63
1-2-3-4-7-8,0.47,0.67
1-2-3-4-7-9,0.48,0.63
1-2-3-4-8-9,0.45,0.63
1-2-3-5-6-7,0.51,0.65
1-2-3-5-6-8,0.53,0.65
1-2-3-5-6-9,0.49,0.62
1-2-3-5-7-8,0.48,0.63
1-2-3-5-7-9,0.47,0.6
1-2-3-5-8-9,0.47,0.6
1-2-3-6-7-8,0.51,0.69
1-2-3-6-7-9,0.43,0.63
1-2-3-6-8-9,0.45,0.63
1-2-3-7-8-9,0.48,0.61
1-2-4-5-6-7,0.53,0.66
1-2-4-5-6-8,0.56,0.68
1-2-4-5-6-9,0.47,0.61
1-2-4-5-7-8,0.51,0.68
1-2-4-5-7-9,0.41,0.58
1-2-4-5-8-9,0.43,0.56
1-2-4-6-7-8,0.53,0.7
1-2-4-6-7-9,0.48,0.65
1-2-4-6-8-9,0.47,0.66
1-2-4-7-8-9,0.44,0.63
1-2-5-6-7-8,0.53,0.69
1-2-5-6-7-9,0.48,0.61
1-2-5-6-8-9,0.45,0.65
1-2-5-7-8-9,0.44,0.6
1-2-6-7-8-9,0.47,0.65
1-3-4-5-6-7,0.47,0.67
1-3-4-5-6-8,0.52,0.66
1-3-4-5-6-9,0.47,0.62
1-3-4-5-7-8,0.49,0.64
1-3-4-5-7-9,0.45,0.59
1-3-4-5-8-9,0.41,0.58
1-3-4-6-7-8,0.48,0.71
1-3-4-6-7-9,0.49,0.64
1-3-4-6-8-9,0.48,0.65
1-3-4-7-8-9,0.49,0.63
1-3-5-6-7-8,0.48,0.68
1-3-5-6-7-9,0.51,0.63
1-3-5-6-8-9,0.48,0.64
1-3-5-7-8-9,0.45,0.59
1-3-6-7-8-9,0.49,0.63
1-4-5-6-7-8,0.52,0.72
1-4-5-6-7-9,0.47,0.62
1-4-5-6-8-9,0.45,0.63
1-4-5-7-8-9,0.47,0.62
1-4-6-7-8-9,0.51,0.63
1-5-6-7-8-9,0.43,0.63
2-3-4-5-6-7,0.51,0.65
2-3-4-5-6-8,0.53,0.65
2-3-4-5-6-9,0.49,0.62
2-3-4-5-7-8,0.48,0.63
2-3-4-5-7-9,0.47,0.6
2-3-4-5-8-9,0.47,0.6
2-3-4-6-7-8,0.51,0.69
2-3-4-6-7-9,0.43,0.63
2-3-4-6-8-9,0.45,0.63
2-3-4-7-8-9,0.48,0.61
2-3-5-6-7-8,0.51,0.58
2-3-5-6-7-9,0.47,0.53
2-3-5-6-8-9,0.47,0.55
2-3-5-7-8-9,0.45,0.51
2-3-6-7-8-9,0.44,0.53
2-4-5-6-7-8,0.53,0.69
2-4-5-6-7-9,0.48,0.61
2-4-5-6-8-9,0.45,0.65
2-4-5-7-8-9,0.44,0.6
2-4-6-7-8-9,0.47,0.65
2-5-6-7-8-9,0.47,0.56
3-4-5-6-7-8,0.48,0.68
3-4-5-6-7-9,0.51,0.63
3-4-5-6-8-9,0.48,0.64
3-4-5-7-8-9,0.45,0.59
3-4-6-7-8-9,0.49,0.63
3-5-6-7-8-9,0.47,0.53
4-5-6-7-8-9,0.43,0.63
